timestep,0,1,2,3,4
0,2.59,1.89,2.40,2.09,1.78
1,2.59,1.88,2.40,2.09,1.78
3,2.59,1.89,2.40,2.09,1.78
5,2.59,1.89,2.40,2.09,1.78
7,2.58,1.88,2.40,2.09,1.78
9,2.58,1.88,2.40,2.09,1.78
11,2.64,1.93,2.44,2.14,1.88
13,2.65,1.96,2.46,2.08,1.83
15,2.54,1.79,2.34,2.13,1.81
17,2.58,1.86,2.39,1.97,1.66
19,2.61,1.89,2.39,2.20,1.82
21,2.54,1.81,2.35,2.01,1.72
23,2.56,1.85,2.38,2.05,1.80
25,2.61,1.88,2.38,1.96,1.68
27,2.56,1.82,2.36,2.02,1.72
29,2.54,1.79,2.34,2.01,1.72
31,2.56,1.85,2.38,2.06,1.76
33,2.59,1.88,2.40,2.09,1.76
35,2.56,1.85,2.37,2.03,1.73
37,2.56,1.85,2.38,2.05,1.74
39,2.56,1.84,2.37,2.03,1.73
41,2.55,1.83,2.37,2.03,1.73
43,2.53,1.77,2.39,2.05,1.76
45,2.56,1.85,2.38,2.05,1.75
47,2.59,1.88,2.50,2.13,1.74
49,2.54,1.84,2.37,2.02,1.72
51,2.54,1.82,2.36,2.01,1.72
53,2.52,1.78,2.27,1.89,1.70
55,2.52,1.79,2.32,1.99,1.68
57,2.51,1.77,2.31,1.94,1.60
59,2.47,1.74,2.28,1.93,1.58
61,2.42,1.67,2.24,1.89,1.55
63,2.43,1.68,2.23,1.89,1.55
65,2.42,1.67,2.23,1.88,1.55
67,2.41,2.08,2.44,2.10,1.86
69,2.60,1.88,2.41,2.08,1.76
71,2.59,1.89,2.41,2.10,1.78
73,2.58,1.88,2.40,2.08,1.76
75,2.58,1.87,2.40,2.07,1.75
77,2.56,1.85,2.38,2.04,1.73
79,2.55,1.84,2.38,2.10,1.77
81,2.61,1.92,2.43,2.14,1.82
83,2.61,1.90,2.45,2.13,1.76
85,2.59,1.90,2.43,2.10,1.78
87,2.59,1.89,2.42,2.09,1.80
89,2.60,1.94,2.46,2.14,1.78
91,2.59,1.89,2.42,2.10,1.78
93,2.58,1.89,2.42,2.10,1.79
95,2.60,1.89,2.41,2.09,1.77
97,2.57,1.88,2.41,2.10,1.79
99,2.58,1.89,2.41,2.09,1.77
101,2.58,1.89,2.43,2.11,1.79
103,2.57,1.87,2.43,2.11,1.75
105,2.57,1.87,2.38,2.05,1.74
107,2.69,1.93,2.43,2.11,1.80
109,2.61,1.93,2.43,2.11,1.81
111,2.61,1.92,2.43,2.11,1.80
113,2.61,1.92,2.43,2.09,1.79
115,2.59,1.90,2.43,2.11,1.81
116,2.61,1.92,2.42,2.10,1.80
118,2.60,1.92,2.42,2.11,1.80
120,2.60,1.91,2.42,2.10,1.80
122,2.60,1.91,2.42,2.10,1.80
124,2.61,1.89,2.42,2.10,1.80
126,2.53,1.92,2.40,2.07,1.81
128,2.55,1.87,2.44,2.06,1.89
130,2.63,1.93,2.43,2.21,1.83
132,2.57,1.88,2.39,2.06,1.85
134,2.61,1.93,2.44,2.12,1.80
136,2.62,1.94,2.45,2.11,1.83
138,2.60,1.98,2.48,2.14,1.85
140,2.62,1.94,2.45,2.12,1.83
142,2.62,1.94,2.45,2.12,1.83
144,2.61,1.94,2.45,2.12,1.84
146,2.65,1.95,2.48,2.13,1.84
148,2.62,1.93,2.45,2.11,1.87
150,2.68,2.00,2.52,2.20,1.90
152,2.65,1.97,2.51,2.17,1.90
154,2.67,1.99,2.50,2.18,1.89
156,2.64,1.96,2.49,2.17,1.89
158,2.61,1.93,2.45,2.12,1.83
160,2.61,1.92,2.44,2.12,1.80
162,2.59,1.89,2.41,2.08,1.79
164,2.58,1.87,2.40,2.06,1.77
166,2.58,1.87,2.40,2.07,1.78
168,2.57,1.87,2.40,2.07,1.77
170,2.58,1.88,2.41,2.08,1.78
172,2.58,1.87,2.40,2.08,1.78
174,2.58,1.90,2.43,2.12,1.82
176,2.61,1.92,2.44,2.12,1.83
178,2.62,1.94,2.46,2.12,1.83
180,2.62,1.94,2.45,2.14,1.84
182,2.62,1.94,2.44,2.14,1.85
184,2.63,1.96,2.46,2.16,1.87
186,2.64,1.98,2.48,2.17,1.88
188,2.63,1.97,2.47,2.17,1.87
190,2.62,1.95,2.45,2.16,1.84
192,2.64,1.97,2.48,2.17,1.86
194,2.67,2.00,2.49,2.20,1.89
196,2.66,2.01,2.50,2.25,1.94
198,2.59,1.92,2.43,2.17,1.91
200,2.70,1.99,2.50,2.31,1.92
202,2.63,1.95,2.45,2.15,1.80
204,2.57,1.87,2.39,2.09,1.76
206,2.55,1.86,2.39,2.09,1.75
208,2.56,1.87,2.40,2.09,1.76
210,2.55,1.86,2.39,2.08,1.74
212,2.55,1.85,2.39,2.08,1.74
214,2.54,1.85,2.39,2.07,1.74
216,2.53,1.85,2.38,2.06,1.74
218,2.53,1.86,2.39,2.08,1.75
220,2.53,1.86,2.39,2.08,1.75
222,2.54,1.87,2.39,2.08,1.76
224,2.53,1.86,2.39,2.08,1.75
226,2.53,1.86,2.39,2.08,1.75
228,2.54,1.86,2.40,2.09,1.76
230,2.48,1.77,2.31,2.08,1.76
232,2.56,1.79,2.29,2.10,1.79
234,2.51,2.04,2.37,2.15,1.96
236,2.42,1.67,2.26,1.96,1.66
238,2.52,1.67,2.22,2.10,1.71
240,2.52,1.95,2.47,2.19,1.85
242,2.50,1.75,2.39,1.95,1.67
244,2.60,1.76,2.45,1.77,1.91
246,2.51,1.81,2.36,1.94,1.77
