iteration,0,1,2,3,4
1,2.4554,1.6945999999999999,2.3194,1.637,1.6284
2,2.41,1.6647999999999998,2.2723999999999998,1.6024,1.5694000000000001
3,2.286,1.58,2.2386,1.5948,1.4027999999999998
4,2.2872,1.6454,2.2752,1.6567999999999998,1.4449999999999998
5,2.273,1.5868,2.2168,1.6128,1.3662
6,2.3336,1.7052,2.2692,1.6907999999999999,1.4192
7,2.3289999999999997,1.6534,2.3224,1.5566,1.4738
8,2.3544,1.6885999999999999,2.3254,1.598,1.486
9,2.3634,1.7102,2.3324,1.6261999999999999,1.4898
10,2.381,1.692,2.3442,1.6260000000000001,1.49
