x,symbol,0,1,2,3,4
x,baseline,0,0,0,0,0
x,baseline,0,0,0,0,0
x,baseline,0,0,0,0,0
x,baseline,0,0,0,0,0
x,baseline,0,0,0,0,0
x,baseline,0,0,0,0,0
x,baseline,0,0,0,0,0
x,baseline,0,0,0,0,0
x,baseline,0,0,0,0,0
x,baseline,0,0,0,0,0
x,Jiim,0.1226,0.085,0.1126,0.1998,0.1308
x,Jiim,0.1464,0.1724,0.1292,0.3512,0.3054
x,Jiim,0.091,0.0676,0.1314,0.2792,0.3694
x,Jiim,0.0834,0.0434,0.1558,0.2786,0.3504
x,Jiim,0.0754,0.044,0.1172,0.3298,0.32
x,Jiim,0.1,0.0846,0.1096,0.4008,0.318
x,Jiim,0.0868,0.0926,0.0946,0.2726,0.2822
x,Jiim,0.0876,0.0974,0.1078,0.3584,0.2924
x,Jiim,0.0914,0.0706,0.1392,0.3518,0.295
x,Jiim,0.0788,0.0634,0.1144,0.3904,0.2816
x,Thaa,1.0884,0,0,0,0.3318
x,Thaa,0.861,0,0.0002,0,0.3794
x,Thaa,0.8298,0,0,0,0.3772
x,Thaa,0.8226,0,0,0,0.361
x,Thaa,0.9446,0,0,0,0.2604
x,Thaa,0.7486,0,0,0,0.3368
x,Thaa,0.6946,0,0,0,0.366
x,Thaa,0.6036,0,0,0,0.26
x,Thaa,0.5714,0,0,0,0.3024
x,Thaa,0.5172,0,0,0,0.3574
x,Taa,0.7688,0.367,0.0012,0,0.187
x,Taa,0.6904,0.3022,0,0,0.2266
x,Taa,0.6196,0.265,0,0,0.2366
x,Taa,0.4866,0.2608,0,0,0.306
x,Taa,0.5276,0.1678,0,0,0.178
x,Taa,0.4838,0.195,0,0,0.2136
x,Taa,0.5592,0.1804,0.0002,0,0.1268
x,Taa,0.5228,0.1486,0,0,0.0986
x,Taa,0.473,0.1286,0,0.0002,0.15
x,Taa,0.4496,0.1214,0,0,0.1754
x,Baa,0.3952,0.1586,0.493,0,0.2602
x,Baa,0.4484,0.173,0.4772,0.0002,0.251
x,Baa,0.403,0.1416,0.452,0,0.1696
x,Baa,0.4304,0.1332,0.4122,0,0.155
x,Baa,0.419,0.1384,0.3922,0.0002,0.1808
x,Baa,0.4382,0.1162,0.3646,0,0.2158
x,Baa,0.4286,0.1014,0.3978,0,0.2718
x,Baa,0.4316,0.1178,0.3368,0,0.2028
x,Baa,0.3976,0.1064,0.3304,0.0066,0.1982
x,Baa,0.3982,0.0954,0.343,0.0072,0.2456
x,Alif,0.3176,0.5464,0.2794,0.779,0
x,Alif,0.3208,0.512,0.2716,0.7926,0
x,Alif,0.396,0.6768,0.3418,0.9492,0
x,Alif,0.3854,0.669,0.2672,0.8484,0
