x,symbol,0,1,2,3,4
x,baseline,1.451,1.1812,2.1024,1.3768,0.7172
x,baseline,1.4562,1.1428,2.104,1.3484,0.6424
x,baseline,1.4564,1.165,2.0882,1.3682,0.6278
x,baseline,1.4828,1.1656,2.0942,1.3914,0.6402
x,baseline,1.4672,1.1542,2.081,1.4106,0.6502
x,baseline,1.4902,1.188,2.1234,1.4194,0.66
x,baseline,1.489,1.1898,2.1104,1.4406,0.6686
x,baseline,1.4844,1.1142,2.0928,1.3676,0.645
x,baseline,1.5398,1.1586,2.1278,1.417,0.6502
x,baseline,1.485,1.1646,2.0924,1.404,0.6444
x,Jiim,1.8772,2.0818,2.0676,2.209,0.9262
x,Jiim,1.8472,1.7618,2.1446,1.7656,1.185
x,Jiim,1.8336,1.8486,2.1758,1.934,1.2998
x,Jiim,1.6994,1.5976,2.1928,1.59,0.9758
x,Jiim,1.7318,1.7448,2.1992,2.035,1.0438
x,Jiim,1.7676,1.6666,2.2062,1.7694,1.0628
x,Jiim,1.7678,1.7138,2.2002,1.8114,1.1354
x,Jiim,1.7166,1.6934,2.0878,1.815,1.1664
x,Jiim,1.7568,1.9378,2.2676,2.109,1.3512
x,Jiim,1.8048,1.7582,2.2436,1.9166,1.3318
x,Thaa,2.6106,1.432,2.0978,1.6248,1.618
x,Thaa,2.6206,1.3532,2.0994,1.6624,1.679
x,Thaa,2.4972,1.409,2.117,1.5992,1.9628
x,Thaa,2.5694,1.3998,2.1606,1.6612,2.0396
x,Thaa,2.556,1.3,2.1768,1.5976,1.7928
x,Thaa,2.5518,1.2476,2.1472,1.6258,1.6248
x,Thaa,2.5372,1.2532,2.1636,1.5386,1.7784
x,Thaa,2.6006,1.273,2.1344,1.6078,1.7546
x,Thaa,2.4424,1.2546,2.167,1.6078,1.7532
x,Thaa,2.5652,1.4222,2.2972,1.7198,2.0242
x,Taa,2.833,3.7546,2.3278,1.7386,1.836
x,Taa,2.7482,3.7972,2.1958,1.7286,1.637
x,Taa,2.7072,3.7066,2.1778,1.7434,1.6028
x,Taa,2.7462,3.0834,2.2426,1.612,1.5584
x,Taa,2.6928,3.1696,2.2188,1.5254,1.3442
x,Taa,2.712,3.4808,2.2192,1.575,1.5898
x,Taa,2.6858,3.3602,2.216,1.5362,1.8732
x,Taa,2.672,3.4064,2.2064,1.5172,1.6804
x,Taa,2.574,3.3774,2.226,1.578,1.698
x,Taa,2.683,3.1806,2.2144,1.4698,1.566
x,Baa,2.2706,3.898,3.9422,1.665,1.6686
x,Baa,2.5902,3.7036,2.3914,1.6,1.8112
x,Baa,2.5528,3.7054,2.5734,1.6744,1.7372
x,Baa,2.4802,3.9236,2.6924,1.6922,2.4822
x,Baa,2.4558,3.9226,2.6576,1.7404,2.4372
x,Baa,2.3884,3.9356,2.6956,1.743,2.2546
x,Baa,2.2438,3.8914,2.6806,1.76,2.3868
x,Baa,2.3908,3.9702,2.6544,1.7464,2.4702
x,Baa,2.2556,3.9042,2.6706,1.7648,2.5044
x,Baa,2.2354,3.9982,2.718,1.7204,2.595
x,Alif,2.209,3.3122,2.436,3.4616,1.1264
x,Alif,2.173,3.6268,2.6844,3.9098,1.1882
x,Alif,2.1994,3.4366,2.7308,4.1142,1.2012
x,Alif,2.3742,3.3778,2.6196,4.0668,1.2202
x,Alif,2.3152,3.3784,2.6164,3.9328,1.163
x,Alif,2.1664,3.1388,2.4158,3.777,1.0694
x,Alif,2.3368,3.1296,2.38,3.792,1.0894
x,Alif,2.2536,3.239,2.4152,3.8152,1.11
x,Alif,2.3062,3.2446,2.4546,3.934,1.1176
x,Alif,2.3052,3.3132,2.4566,3.9466,1.135
x,Dhaal,2.2884,3.5334,2.075,2.2114,1.1362
x,Dhaal,2.408,3.3622,2.1066,2.2076,1.1678
x,Dhaal,2.3448,3.4746,2.1152,2.3004,1.1358
x,Dhaal,2.4208,3.2786,2.0996,2.794,1.1732
x,Dhaal,2.3554,3.0562,2.0618,2.4212,1.1558
x,Dhaal,2.3424,3.1054,2.083,2.503,1.1342
x,Dhaal,2.1602,3.0096,2.0308,2.5412,1.0902
x,Dhaal,2.1652,3.4338,2.0638,2.6116,1.1152
x,Dhaal,1.9674,3.4206,2.2094,2.2462,1.1354
x,Dhaal,2.0122,3.1604,2.0692,2.373,0.9904
x,Daal,2.3208,3.315,2.2796,1.9376,1.0742
x,Daal,2.141,3.3672,2.206,1.962,1.239
x,Daal,2.2744,3.1278,2.2322,2.0244,1.1894
x,Daal,2.2786,3.1338,2.2966,2.1884,1.3032
x,Daal,2.341,3.2424,2.3172,2.1628,1.2348
x,Daal,2.3432,3.0548,2.3188,2.1132,1.203
x,Daal,2.272,2.9966,2.311,2.2256,1.2122
x,Daal,2.357,3.2284,2.4126,2.3878,1.4054
x,Daal,2.291,2.982,2.4532,2.429,1.3104
x,Daal,2.3736,3.1718,2.456,2.307,1.4758
x,Qaaf,2.0126,3.7518,1.993,2.3864,2.0824
x,Qaaf,1.9546,3.5132,1.8648,2.7326,2.2326
x,Qaaf,2.112,3.4964,1.9208,2.497,2.2008
x,Qaaf,2.1128,3.4228,1.8958,2.5068,2.2476
x,Qaaf,2.2952,3.4746,1.888,2.6902,2.2592
x,Qaaf,2.1198,3.5956,1.9366,2.4724,2.3952
x,Qaaf,2.3026,3.4358,1.9332,2.5156,2.5194
x,Qaaf,2.0168,3.6604,2.031,2.1244,1.9316
x,Qaaf,2.0662,3.5192,2.0484,2.1758,2.2842
x,Qaaf,2.0886,3.4662,2.0818,2.4308,2.482
x,Ghayn,2.1,3.13,2.0252,1.726,0.8894
x,Ghayn,1.9128,3.294,1.9462,1.7176,0.9062
x,Ghayn,2.2888,3.2814,1.99,1.7768,0.92
x,Ghayn,2.3018,3.3194,1.9988,1.7692,0.9304
x,Ghayn,1.9856,3.3546,1.957,1.7624,0.9194
x,Ghayn,2.1648,3.396,1.972,1.7002,0.8936
x,Ghayn,1.9532,3.2828,1.9614,1.7002,0.87
x,Ghayn,2.2368,3.4564,1.9448,1.7508,0.9466
x,Ghayn,2.1774,3.1768,1.9608,1.7482,0.9164
x,Ghayn,1.962,3.2434,2.0434,1.741,0.9
x,Zaa,2.1912,2.5004,1.9228,1.686,0.958
x,Zaa,1.9482,2.3792,1.8342,1.6962,0.9068
x,Zaa,1.8968,2.2782,1.9232,1.688,0.9286
x,Zaa,2.1392,2.4206,1.8366,1.6696,0.9064
x,Zaa,2.1744,2.4912,1.8756,1.6962,0.9256
x,Zaa,2.313,2.725,1.8624,1.6998,0.9416
x,Zaa,1.8274,2.3188,1.8814,1.7306,0.9258
x,Zaa,2.1486,2.5612,1.8934,1.7116,0.9652
x,Zaa,2.032,2.4562,1.9066,1.7288,0.94
x,Zaa,1.9116,2.2942,1.9,1.717,0.9358
x,Yaa,1.7708,2.7876,2.1454,3.7194,1.1242
x,Yaa,1.7786,3.141,2.2874,4.0498,1.154
x,Yaa,1.7366,2.9258,2.2272,3.9248,1.1362
x,Yaa,1.7536,2.8418,2.1854,3.7078,1.134
x,Yaa,1.8254,2.8732,2.309,3.8084,1.1504
x,Yaa,1.8166,2.8746,2.2868,3.9082,1.1548
x,Yaa,1.8078,2.8162,2.3168,3.984,1.1284
x,Yaa,1.7858,2.9226,2.2844,3.8872,1.1356
x,Yaa,1.7878,2.63,2.346,3.836,1.1518
x,Yaa,1.787,2.7012,2.3206,3.8348,1.143
x,Haa,1.5406,1.26,1.8694,1.671,0.92
x,Haa,1.5606,1.2286,1.7978,1.625,0.9082
x,Haa,1.5706,1.2408,1.8088,1.6388,0.9206
x,Haa,1.5624,1.2716,1.8386,1.667,0.9348
x,Haa,1.5698,1.2408,1.7844,1.6352,0.9198
x,Haa,1.574,1.261,1.8152,1.685,0.9418
x,Haa,1.5802,1.272,1.831,1.7184,0.9514
x,Haa,1.5684,1.2638,1.851,1.6072,0.9426
x,Haa,1.57,1.2484,1.7714,1.5722,0.9214
x,Haa,1.6382,1.2706,1.9574,1.6276,0.9558
x,Miim,1.7872,2.4006,2.2446,3.7092,2.289
x,Miim,1.8258,2.8292,2.41,3.9116,2.2888
x,Miim,1.8418,2.9518,2.489,3.7246,2.1238
x,Miim,1.7874,2.8894,2.3956,3.7678,2.2574
x,Miim,1.796,2.6706,2.362,3.8444,2.2542
x,Miim,1.7498,2.511,2.3502,3.7592,2.1628
x,Miim,1.7972,2.6054,2.3894,3.9272,2.2346
x,Miim,1.774,2.5976,2.386,3.7914,1.95
x,Miim,1.8066,2.7822,2.4418,3.8436,1.9906
x,Miim,1.8056,2.6674,2.345,3.8692,1.9984
x,Laam,1.7968,2.8854,2.2222,1.671,0.9418
x,Laam,1.9604,3.2328,2.2406,1.6918,0.9702
x,Laam,1.9354,2.9844,2.3032,1.7332,0.9736
x,Laam,1.9202,2.9638,2.3388,1.7412,0.9748
x,Laam,1.9442,3.2078,2.2832,1.7504,0.9418
x,Laam,1.938,3.1942,2.2542,1.7584,0.965
x,Laam,1.9154,3.1422,2.2512,1.7424,0.9672
x,Laam,2.0678,3.1712,2.244,1.7538,0.9442
x,Laam,1.8522,3.0874,2.202,1.7592,0.9444
x,Laam,1.7708,3.2716,2.1488,1.7354,0.9518
x,Kaaf,1.6646,1.2066,1.8116,1.658,1.7648
x,Kaaf,1.691,1.2234,1.8592,1.7052,1.9144
x,Kaaf,1.7058,1.1942,1.9412,1.7032,2.0378
x,Kaaf,1.71,1.2296,1.9506,1.7282,2.0414
x,Kaaf,1.7092,1.231,1.9582,1.7344,1.8848
x,Kaaf,1.6978,1.1482,1.959,1.6752,1.8468
x,Kaaf,1.7166,1.2268,1.9586,1.7022,1.9262
x,Kaaf,1.72,1.2244,1.9614,1.7106,1.753
x,Kaaf,1.7142,1.233,1.9644,1.7172,1.829
x,Kaaf,1.7222,1.146,1.945,1.717,1.7256
