symbol,unicode,0,1,2,3,4
Baseline,x,1.487,0.801,2.1068,1.2142,0.5912
Baseline,x,1.5030000000000001,0.8112,2.1212,1.2268,0.6
Baseline,x,1.496,0.8122,2.1006,1.2306,0.6
Baseline,x,1.5036,0.8144,2.1018,1.2374,0.6
Baseline,x,1.5052,0.8198,2.1104,1.2416,0.601
Baseline,x,1.7087999999999999,1.069,2.2636,1.4558,0.8612
Baseline,x,1.5910000000000002,0.9224,2.1206,1.3412000000000002,0.7016
Baseline,x,1.6965999999999999,1.06,2.2096,1.4584,0.8448
Baseline,x,1.7258,1.09,2.2196000000000002,1.5016,0.8724
Baseline,x,1.7046,1.0776000000000001,2.22,1.4818,0.8568
1,0x31,1.6896,4.2316,2.807,1.442,1.9092
1,0x31,1.7698,4.3914,2.7923999999999998,1.4902,2.0904
1,0x31,1.7374,4.2418,2.6924,1.4806,1.9422
1,0x31,1.7512,4.1024,2.5764,1.3978,1.4924
1,0x31,2.0006,4.4152000000000005,2.9012000000000002,1.6818,2.432
1,0x31,1.9868,4.2936,2.988,1.6807999999999998,2.2774
1,0x31,1.9018,4.311599999999999,2.9086,1.5986,2.0148
1,0x31,1.846,4.314,2.9122,1.5782,2.0352
1,0x31,1.7764,4.3314,2.8726,1.5502,2.2244
1,0x31,1.7610000000000001,4.3056,2.8484,1.5278,1.9285999999999999
2,0x32,1.8976,4.3824,2.2662,1.5146,0.9232
2,0x32,1.9638,4.4204,2.2944,1.5288,1.299
2,0x32,2.0658,4.445,2.2971999999999997,1.5302,1.0828
2,0x32,2.1036,4.414,2.3394,1.5636,1.633
2,0x32,2.0258,4.3393999999999995,2.3372,1.568,1.3346
2,0x32,1.8428,4.1012,2.3418,1.4238,1.498
2,0x32,1.9285999999999999,4.1594,2.4328,1.5532000000000001,1.7284
2,0x32,2.3304,4.433,2.3858,1.6572,1.366
2,0x32,2.1524,4.389,2.4724,1.7062,1.3092000000000001
2,0x32,2.0423999999999998,4.4424,2.4584,1.7078,1.2824
3,0x33,1.7022,4.1908,2.3032,1.4948,0.7782
3,0x33,1.6772,4.1370000000000005,2.2666,1.3994,0.699
3,0x33,1.7156,4.1524,2.3082,1.4632,0.7558
3,0x33,1.7838,4.0588,2.3094,1.4438,0.8231999999999999
3,0x33,1.8154000000000001,4.0178,2.3386,1.5266,0.8815999999999999
3,0x33,1.7610000000000001,3.8378,2.3334,1.5336,0.8845999999999999
3,0x33,1.8056,3.9704,2.3018,1.5382,0.8734
3,0x33,1.8954,4.0524,2.3434,1.5628,0.8954
3,0x33,1.554,4.21,2.0432,1.3114000000000001,0.6901999999999999
3,0x33,1.5604,4.2414000000000005,2.0858,1.3514000000000002,0.6941999999999999
4,0x34,1.5912,1.2764,2.2078,1.4012,1.7002
4,0x34,1.4674,1.0976000000000001,2.1458,1.2592,1.5828
4,0x34,1.5796000000000001,1.2178,2.2607999999999997,1.3892,1.9988
4,0x34,1.5856000000000001,1.279,2.3918,1.3724,1.5634000000000001
4,0x34,1.728,1.4462,2.3932,1.5534000000000001,1.9658
4,0x34,1.6702,1.3664,2.3532,1.5412000000000001,1.6032
4,0x34,1.6892,1.403,2.3638,1.5758,1.55
4,0x34,1.7187999999999999,1.4412,2.3996,1.5630000000000002,2.1144
