symbol,0,1,2,3,4
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
baseline,0,0,0,0,0
1,1.3998,1.4856,1.4078,0.0002,1.196
1,1.3214,1.4354,1.3442,0.0072,1.0774
1,1.4232,1.2576,1.224,0.001,1.0634
1,1.127,1.4572,1.22,0.0018,0.9914
1,1.3204,1.1774,1.1946,0.0002,0.8332
1,1.3116,1.1342,1.1372,0.0004,0.743
1,1.256,1.1616,1.1198,0.0002,0.9354
1,1.2946,1.0864,1.0316,0.0002,0.9076
1,1.2538,1.029,1.0276,0,0.8836
1,1.1078,0.834,1.0164,0,0.7728
2,1.3356,1.1114,0,0,0.7528
2,0.9754,1.0196,0.0158,0,0.7964
2,1.3222,0.9894,0.004,0,0.652
2,0.952,0.8598,0.008,0,0.6524
2,1.1266,0.9848,0.009,0,0.796
2,0.8378,0.9058,0.0194,0,0.6912
2,1.0178,0.8586,0.0092,0,0.68
2,0.871,0.8052,0.0104,0,0.5578
2,0.9234,0.7872,0.0026,0,0.6138
2,1.0132,0.788,0.0054,0,0.5206
3,0.5866,0.8618,0,0,0
3,0.6742,0.8544,0.0092,0,0
3,0.6894,0.803,0.0268,0,0
3,0.4922,0.7066,0,0,0
3,0.6274,0.7362,0,0.0002,0
3,0.6014,0.7546,0,0,0
3,0.5074,0.6658,0,0,0
3,0.4132,0.622,0.0008,0,0
3,0.4402,0.6168,0,0,0
3,0.3968,0.5754,0,0,0
4,0,0,0,0,0.7692
4,0,0,0.002,0,0.7518
4,0,0,0.0014,0,0.6998
4,0,0,0.001,0,0.6424
4,0,0,0.0052,0,0.682
4,0,0,0.0018,0,0.6226
4,0,0,0.0022,0,0.6096
4,0,0,0.0062,0,0.6864
4,0,0,0.0026,0,0.6146
4,0,0,0.008,0,0.6228
A,0.8162,0.7048,0.9246,1.2556,0
A,0.7684,0.8622,1.0064,1.2152,0
A,0.721,0.7504,1.0256,1.2366,0
A,0.6688,0.73,0.975,1.2506,0
A,0.734,0.6532,0.9422,1.1708,0
A,0.643,0.5946,0.829,1.0582,0
A,0.6256,0.6456,0.856,1.0686,0
A,0.6316,0.6084,0.8582,1.0306,0
A,0.6394,0.6448,0.8434,1.0504,0
A,0.5762,0.5766,0.8214,1.0652,0
F,0,0,0,0.6924,0.5048
F,0,0,0,0.552,0.4922
F,0,0,0,0.641,0.5454
F,0,0,0,0.514,0.5414
F,0,0,0,0.5474,0.6382
F,0,0,0,0.5034,0.5988
F,0,0,0,0.4834,0.5734
F,0,0,0,0.6014,0.5972
F,0,0,0,0.5814,0.6858
F,0,0,0,0.47,0.56
I,0,0.5734,0.7228,1.371,0.8158
I,0,0.6046,0.7606,1.2108,0.6474
I,0,0.6456,0.794,1.4088,0.6044
I,0,0.581,0.7464,1.3376,0.5382
I,0,0.5532,0.7234,1.3552,0.5756
I,0,0.5274,0.7194,1.2788,0.4904
I,0,0.5236,0.706,1.2844,0.4356
I,0,0.58,0.7518,1.3172,0.431
I,0,0.5388,0.6814,1.2734,0.38
I,0,0.5362,0.6416,1.2316,0.3686
L,0.5692,0.5194,0.8036,0,0
L,0.5606,0.533,0.7992,0,0
L,0.5606,0.4972,0.751,0,0
L,0.4904,0.4558,0.7076,0,0
L,0.5074,0.4466,0.7704,0,0
L,0.482,0.469,0.7168,0,0
L,0.4608,0.4526,0.6852,0,0
L,0.468,0.493,0.7218,0,0
L,0.4518,0.499,0.7218,0,0
L,0.4752,0.4382,0.668,0,0
S,0.6532,0.5144,0.9832,1.4292,0.5966
S,0.7432,0.503,0.7376,1.3046,0.5694
S,0.6446,0.5168,0.8556,1.2652,0.7082
S,0.725,0.4996,0.7454,1.2304,0.5406
S,0.7444,0.5268,0.6942,1.2426,0.4758
S,0.6804,0.4538,0.689,1.1832,0.5264
S,0.6686,0.4566,0.659,1.1858,0.5162
S,0.7018,0.4262,0.6492,1.1612,0.4874
S,0.6714,0.4348,0.6692,1.2978,0.44
S,0.7128,0.491,0.6616,1.2142,0.4916
W,0.6596,0,0,0,0.2564
W,0.6126,0,0,0,0.3354
W,0.483,0,0,0,0.309
W,0.5694,0,0,0,0.3214
W,0.5236,0,0,0,0.335
W,0.482,0,0,0,0.2888
W,0.4644,0,0,0,0.3334
W,0.443,0,0,0,0.3082
W,0.4328,0,0,0,0.2498
W,0.4554,0,0,0,0.293
Y,0,0.338,0.4418,0.8752,0
Y,0,0.2478,0.399,0.9898,0
Y,0,0.1248,0.3258,0.7148,0
Y,0,0.141,0.357,0.8096,0
Y,0,0.1422,0.295,0.7644,0
Y,0,0.2508,0.3822,0.7574,0
Y,0,0.1612,0.3444,0.827,0
Y,0,0.0842,0.2902,0.6524,0
Y,0,0.1134,0.3042,0.7854,0
Y,0,0.1076,0.392,0.6792,0
ILY,0,0.1004,0.4738,0,0
ILY,0,0.1736,0.4808,0,0
ILY,0,0.1888,0.5148,0,0
ILY,0,0.1356,0.3996,0,0
ILY,0,0.1212,0.3914,0,0
ILY,0,0.0872,0.3832,0,0
ILY,0,0.129,0.3318,0,0
ILY,0,0.0882,0.3924,0,0
ILY,0,0.1,0.4044,0,0
ILY,0,0.1166,0.4098,0,0
ROCK,0.003,0.2174,0.4484,0,0.5944
ROCK,0,0.2138,0.4398,0,0.3862
ROCK,0.0012,0.3684,0.5578,0,0.4966
ROCK,0,0.217,0.5056,0,0.3678
ROCK,0,0.2474,0.4664,0,0.3372
ROCK,0,0.2664,0.4878,0,0.3284
ROCK,0.0002,0.2444,0.4276,0,0.352
ROCK,0.001,0.2286,0.4246,0,0.312
ROCK,0.0018,0.2022,0.3912,0,0.3714
ROCK,0,0.2402,0.3704,0,0.3472
7,0,0.1744,0,0,0.3058
7,0,0.3756,0,0,0.322
7,0.0008,0.3016,0,0,0.2612
7,0.0004,0.314,0,0,0.2474
7,0.0008,0.3624,0,0,0.3402
7,0.001,0.3292,0.001,0,0.3326
7,0,0.277,0.0054,0,0.3004
7,0.0002,0.2666,0,0,0.3084
7,0,0.2806,0,0,0.295
7,0.0002,0.2572,0.0018,0,0.2574
8,0,0,0.5776,0,0.3716
8,0,0,0.6332,0,0.2336
8,0,0,0.5966,0,0.2364
